Open,High,Low,Close,Adj Close,Volume
81200,81700,80700,81000,81000,14087962
80800,80900,80500,80500,80500,10550078
80900,81200,80600,80900,80900,10075685
81500,81900,81100,81800,81800,14999855
81100,81300,80700,80900,80900,14007385
81100,81100,80500,80500,80500,14916721
79700,80000,79600,79900,79900,16063340
80200,80300,79900,80000,80000,11773365
80500,80600,79900,80100,80100,13856548
80400,81400,80100,81200,81200,18771080
81500,81900,81200,81600,81600,13481405
81700,82000,81600,81900,81900,11578529
81900,82100,80800,81000,81000,15744317
81100,81400,80700,80700,80700,13288643
80500,80600,80000,80100,80100,13382882
80000,80400,79900,80000,80000,8753097
80100,80800,80000,80400,80400,8330969
80600,81200,80500,81200,81200,12131651
81200,81300,80300,80800,80800,15992202
81100,81200,79900,79900,79900,16660998
79600,79800,79000,79400,79400,22720577
79900,80000,79500,79700,79700,9768108
80000,80200,79800,79800,79800,9863450
79400,79600,79100,79500,79500,11575636
79800,80600,79500,80600,80600,13766279
80100,80100,79500,79800,79800,10859399
79100,79200,78800,79000,79000,13155414
78500,79000,78400,79000,79000,12456646
79000,79100,78500,78500,78500,12355296
79000,79800,78900,79700,79700,12618790
79700,79900,79200,79300,79300,9098910
79400,79500,78800,78800,78800,10040975
79200,79400,78500,78500,78500,11427693
78300,78900,78100,78400,78400,10199591
